DAX Company,posemo,negemo,social,cogproc,Analytic,Authentic
Adidas,1.04,0.84,2.67,1.18,99.0,1.0
Airbus,0.55,0.47,1.25,1.48,99.0,1.0
Allianz SE,3.77,0.9,13.4,13.9,94.85,42.72
BASF,4.49,0.97,13.92,14.27,86.85,51.09
Bayer AG,4.08,0.81,12.3,14.13,95.51,60.63
Beiersdorf,4.91,0.52,12.7,11.89,89.07,60.13
Brenntag,0.0,0.0,5.0,3.0,98.96,1.0
Commerzbank,4.07,1.34,12.25,15.01,86.45,50.15
Covestro AG,4.54,0.91,11.39,14.09,91.91,46.33
Daimler Truck,4.61,0.75,13.02,15.34,78.29,57.61
Deutsche Bank,4.48,1.0,12.62,13.71,82.15,64.16
Deutsche BÂšrse,5.42,0.45,15.96,11.55,83.91,37.6
Deutsche Post AG,5.2,0.79,13.53,13.25,83.99,59.49
Deutsche Telekom,3.97,0.77,13.77,13.6,88.55,15.19
Eon,4.61,0.58,11.43,13.51,89.58,17.28
Fresenius,4.01,0.97,11.67,12.69,96.88,51.52
Hannover SE,4.62,1.56,12.71,14.17,97.93,34.36
HeidelbergCement AG,2.58,0.81,7.58,8.39,99.0,83.43
Henkel,3.83,0.84,12.58,14.09,91.12,51.99
Mercedes Benz Group,0.0,0.0,0.0,0.0,,
Merck,3.77,0.82,13.39,13.22,96.71,72.6
MTU Aero Engines,5.8,0.5,13.34,14.22,92.13,33.79
Munich RE,4.31,1.34,10.03,13.12,98.29,30.59
Porsche AG,4.3,0.29,12.96,13.16,89.74,28.37
Qiagen,0.68,0.16,1.6,1.87,99.0,1.0
Rheinmetall AG,3.14,0.43,6.65,10.74,99.0,30.18
RWE AG,2.33,0.42,8.56,10.78,99.0,58.15
SAP SE,5.0,0.61,14.95,13.11,91.86,49.59
Siemens AG,4.44,0.46,14.86,13.18,93.85,34.65
Siemens Energy,3.97,0.71,11.4,12.77,97.87,23.51
Siemens Healthineers,4.13,0.55,12.26,7.71,99.0,26.17
Symrise,4.24,0.43,11.67,12.15,96.03,58.34
Volkswagen AG,4.1,0.5,12.29,11.85,96.38,42.68
Vonovia,4.5,1.03,15.17,16.09,74.38,29.77
