DAX Company,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you_total,you_sing,you_plur,you_formal,other,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Adidas,1,2026,99,64.22,1,21.21,15.58,17.08,21.87,6.42,1.23,0,0,0,0,0,0,0,0,0,0,1.23,0,2.12,0.59,0.44,0.35,1.14,1.28,0.84,0,1.14,0.44,0.64,1.88,1.04,0.84,0.44,0,0.1,2.67,0,0.05,0,0,1.18,0.1,0.44,0.54,0,0.1,0,0.2,0.2,0,0,0.44,0.15,0.2,0,0,1.83,1.14,0.35,0.15,0.1,0.1,0.54,0.44,0,3.65,0.05,2.76,0.84,2.02,3.21,0.3,0.99,0,0,10.37,0,8.44,0.05,0,0,15.94,5.73,5.43,0.1,0,0.64,0.05,0.64,0.25,3.06,0,0.05
Airbus,1,1284,99,64.06,1,18.85,80.25,34.66,31.15,3.19,0.16,0,0,0,0,0,0,0,0,0,0,0.16,0,2.65,0,0.16,0,0.23,0.23,1.09,0,0.16,14.41,0.08,1.01,0.55,0.47,0.47,0.08,0,1.25,0,0,0,0,1.48,0.55,0.55,0,0.08,0.23,0,0.08,0,0.08,0,0.39,0,0.39,0,0,1.64,0.62,0.55,0.47,0.08,0.08,0.16,0.08,0.08,4.36,0,2.96,1.4,2.57,0.78,0,1.01,0,0,7.01,0,5.92,0,0,0,24.38,4.21,5.06,1.48,1.48,0,0,1.64,1.56,0.55,3.58,4.83
Allianz SE,1,3978,94.85,93.48,42.72,86.25,16.24,37.13,86.6,49.55,14.38,10.43,1.03,6.91,0.1,0,0.1,0,1.94,1.76,1.21,3.19,11.04,13.4,4.95,4.07,10.41,0.5,10.48,6.46,2.26,0.55,4.2,2.87,4.85,3.77,0.9,0.18,0.1,0.45,13.4,0.05,0.6,0.18,0.55,13.9,1.56,2.41,0.8,1.89,2.87,2.26,1.56,0.63,0.58,0.25,2.09,0.08,0.75,0.18,0,17.3,9,5.18,2.59,1.56,1.01,1.99,2.82,1.51,19.26,2.01,10.78,7.49,10.06,0.38,0.2,3.52,0.18,0.05,0.4,0,0.08,0,0,0,14.35,6.08,4.1,1.36,0.05,0.05,0.15,1.03,0.5,0,0.65,0.38
BASF,1,4519,86.85,93.27,51.09,93.98,10.56,31.18,83.51,51.78,15,10,0.82,6.93,0.18,0.11,0.07,0,1.77,1.53,1.28,3.14,9.76,14.98,6.77,4.56,11.82,0.89,12.57,7.92,1.99,0.77,3.21,2.68,5.44,4.49,0.97,0.11,0.13,0.6,13.92,0.04,0.31,0.2,0.4,14.27,2.12,2.74,1.66,1.73,3.05,2.7,1.48,0.6,0.15,0.53,2.68,0.35,0.38,0.38,0.09,17.44,8.17,5.6,3.28,1.24,0.75,1.42,4.54,1.42,20.07,2.35,12.06,6.9,6,0.58,0.11,2.52,0.22,0.09,0.4,0,0,0,0,0.02,15.4,8.96,2.99,1.08,0,0.15,0.6,1.39,0.07,0,0,0.15
Bayer AG,1,3969,95.51,90.22,60.63,91.63,15.32,34.95,84.61,49.71,12.75,8.57,1.23,5.59,0.1,0.08,0.03,0,1.41,1.28,0.78,3.15,9.8,14.87,6.05,4.26,10.58,0.33,12.12,7.86,2.52,1.01,4.01,3.1,4.94,4.08,0.81,0.2,0.23,0.25,12.3,0.08,0.28,0.2,0.28,14.13,1.56,2.49,0.93,1.89,2.8,2.37,1.16,0.5,0.3,0.23,2.87,0.45,0.81,0.2,0.35,15.12,6.73,5.62,2.19,1.46,0.63,2.09,3.85,1.23,20.71,2.57,12.02,7.48,6.68,0.45,0.08,2.87,0.03,0.08,0.63,0,0.08,0.03,0,0,14.76,6.2,4.36,0.68,0,0.35,0.05,2.22,0.23,0,0.28,0.4
Beiersdorf,1,2708,89.07,93.4,60.13,98.44,13.89,33.75,84.16,49.26,13.7,9.93,1.07,7.35,0.04,0,0.04,0,0.96,0.85,0.63,2.7,9.34,13.15,6.02,4.36,11.37,0.37,11.93,6.46,2.07,0.3,4.47,3.14,5.5,4.91,0.52,0.11,0.04,0.3,12.7,0.15,0.26,0.44,0.52,11.89,1.7,1.99,0.92,1.44,2.55,2.33,0.96,0.52,0.18,0.18,2.1,0.44,0.52,0.26,0.04,16.58,8.23,5.13,2.33,2.14,0.52,2.88,2.99,1.7,20.27,3.06,11.08,7.24,7.09,0.7,0.07,2.7,0.18,0.04,0.48,0,0,0.07,0,0,16.29,7.16,4.54,1.11,0,0.04,0.33,2.77,0.04,0,0,0.3
Brenntag,1,100,98.96,73.67,1,,33.33,31,71,10,4,2,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,0,4,0,0,0,43,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,2,0,6,1,1,0,4,0,0,0,4,1,0,0,0,0,1,0,2,0,4,2,0,2,8,0,0,4,1,0,0,0,0,0,0,0,33,5,4,4,0,0,0,1,0,0,2,17
Commerzbank,1,3805,86.45,85.44,50.15,84.08,15.1,30.96,86.57,51.27,13.01,7.73,0.84,4.47,0.16,0,0.16,0,2.08,1.87,1.66,3.71,10.96,13.32,7.28,5.55,11.91,1,12.9,9.22,2.84,0.79,3.44,3.42,5.55,4.07,1.34,0.32,0.18,0.55,12.25,0,0.16,0.47,0.39,15.01,1.71,2.39,1.31,2.26,4.2,3.39,1.26,0.58,0.24,0.37,2.92,0.26,0.42,0.26,0,14.51,5.26,5.36,3,1.39,1.18,2.34,4.7,1.6,19.66,2,10.14,8.86,7.41,0.39,0.13,3.52,0.21,0.18,0.76,0,0,0.11,0,0.05,15.53,6.49,5.49,0.76,0.03,0,0.21,1.97,0.08,0,0,0.5
Covestro AG,1,3855,91.91,87.9,46.33,94.88,12.6,34.73,81.09,47.26,12.35,7.6,0.86,4.75,0.13,0.05,0.08,0,1.32,1.19,0.93,3.19,9.31,13.2,5.65,4.31,11.62,0.47,11.34,7.96,1.79,0.6,3.4,3.45,5.5,4.54,0.91,0.1,0.03,0.49,11.39,0,0.18,0.39,0.44,14.09,1.43,2.62,1.66,1.63,2.96,2.44,1.48,0.88,0.23,0.26,2.23,0.1,0.36,0.29,0,13.8,5.4,4.93,2.49,1.12,0.93,1.69,3.71,1.63,20.1,3.04,11.54,6.74,5.71,0.42,0.13,2.88,0.18,0.08,0.73,0,0.03,0.1,0,0.03,15.1,8.02,4.23,1.35,0,0,0.16,0.91,0.13,0,0.21,0.1
Daimler Truck,1,3756,78.29,92.66,57.61,96.35,16.05,32.51,83.49,51.94,14.4,9.74,0.75,7.43,0.05,0,0.05,0,1.22,1.04,0.69,3.51,8.73,13.66,7.16,5.32,11.85,0.85,12.43,8.6,2.08,0.85,3.35,4.05,5.38,4.61,0.75,0.16,0.08,0.48,13.02,0,0.27,0.21,0.21,15.34,1.92,2.82,1.84,1.76,4.39,3.04,1.36,0.69,0.35,0.24,2.18,0.19,0.16,0.21,0.03,17.23,8.04,6.5,2.08,2.02,0.51,1.17,3.89,2.18,20.47,2.93,10.62,8.57,6.04,0.8,0.05,2.1,0.24,0.05,0.88,0,0,0.27,0,0,14.16,6.15,4.42,1.17,0.05,0,0.05,2.32,0,0,0,0
Deutsche Bank,1,4018,82.15,91.95,64.16,93.68,18.78,30.96,87.53,53.19,14.48,9.83,0.92,7.09,0.05,0,0.05,0,1.34,1.17,1.14,3.29,10.13,13.69,6.87,4.98,12.94,0.55,12.82,7.52,2.29,0.92,3.58,2.89,5.5,4.48,1,0.32,0.05,0.27,12.62,0.05,0.45,0.17,0.25,13.71,1.94,2.64,1.82,1.34,3.04,3.06,1.07,0.5,0.27,0.27,2.22,0.35,0.3,0.37,0,16.67,8.09,5.53,2.17,1.99,0.72,2.41,3.43,1.42,21.15,2.22,11.77,8.54,8.51,0.27,0.1,5.25,0.22,0.02,0.62,0,0,0,0,0,13.66,5.4,6.3,0.82,0,0,0,0.92,0.05,0,0,0.17
Deutsche Bšrse,1,3785,83.91,95.18,37.6,99,9.16,30.78,85.02,49.75,15.61,11.55,1.19,6.58,0.26,0,0.26,0,3.36,3.06,2.22,2.35,9.91,12.15,6.45,4.23,10.52,0.66,13.03,7.42,1.61,0.74,3.62,3.17,5.97,5.42,0.45,0.13,0.11,0.13,15.96,0.16,0.45,0.4,0.85,11.55,2.01,1.9,1.24,1.9,2.54,1.98,1.08,0.45,0.18,0.34,2.46,0.45,0,0.5,0.03,16.09,8.3,5.13,2.75,1.43,0.42,1.82,4.97,1.19,20.05,2.83,9.93,8.53,8.08,0.61,0.03,3.43,0.32,0,0.95,0,0.03,0.13,0,0,18.23,10.78,4.12,1.37,0,0.34,0.18,0.95,0.37,0.03,0,0.08
Deutsche Post AG,1,3805,83.99,92.98,59.49,98.5,11.09,31.25,83.81,46.33,13.61,9.46,0.71,6.62,0.11,0,0.11,0,1.73,1.6,1.21,2.94,7.91,11.85,6.02,4.63,10.33,0.55,11.67,8.23,2.55,0.47,5.7,3.57,5.97,5.2,0.79,0.16,0.08,0.29,13.53,0.08,0.26,0.26,0.39,13.25,1.47,2.08,1.08,1.84,3.5,2.73,1.1,0.58,0.13,0.34,1.87,0.16,0.47,0.13,0.11,16.19,7.31,5.31,2.79,1.66,1.02,1.37,4.65,1.37,21.29,2.73,11.27,9.25,6.49,0.5,0,3.39,0.13,0.11,0.87,0,0.47,0.08,0,0,17.03,9.67,4.57,1.26,0,0.08,0.03,0.76,0.03,0,0,0.63
Deutsche Telekom,1,3000,88.55,90.65,15.19,90.78,6.51,30.03,86.13,48.3,13.43,8.5,0.87,5.67,0.13,0.03,0.1,0,1.73,1.7,0.87,3.73,9.47,13.43,7.13,3.93,10.9,1.07,13.83,6.5,1.67,0.73,7.27,3.6,4.8,3.97,0.77,0.1,0.17,0.3,13.77,0.2,0.23,0.63,0.4,13.6,1.33,3.07,2.53,1.97,2.97,2.83,1.33,0.43,0.47,0.37,3.03,0.27,0.53,0.63,0.03,14.03,7.1,5.17,1.7,1.17,0.57,1.57,5.43,1.23,16.8,2.3,9.13,6.83,6.93,0.7,0.13,4.63,0.07,0,0.8,0,0.23,0.1,0,0,21.93,15.07,2.57,1.6,0,0.33,0.2,0.9,0.1,0.1,0,1.07
Eon,1,2406,89.58,91.04,17.28,97.21,8.5,33.42,81.26,48.42,12.97,8.77,0.71,6.28,0.04,0,0.04,0,1.58,1.41,1.12,2.87,9.81,12.43,6.32,4.99,10.64,0.42,12.39,7.56,2.41,0.46,3.82,2.66,5.24,4.61,0.58,0.12,0.17,0.17,11.43,0,0.33,0.25,0.33,13.51,1.54,3.2,1.95,1.7,3.37,2.37,1.21,0.5,0.33,0.29,2.33,0.08,0.42,0.29,0.04,15.63,7.07,5.24,2.62,1.21,1.25,2.37,5.36,1.45,16.75,2.37,9.1,7.52,6.57,0.46,0.04,3.08,0.08,0.04,0.67,0,0.04,0.21,0,0,20.12,12.18,2.16,1.21,0.04,0.29,0.54,2.95,0.25,0,0.25,0.25
Fresenius,1,2467,96.88,87.5,51.52,88.77,9.34,34.98,82.29,47.39,12.16,7.3,0.73,4.09,0.12,0,0.12,0,2.11,1.95,1.54,3,10.5,14.47,6.04,4.18,9.97,0.49,12.61,7.94,2.19,0.49,3.08,3.45,5.07,4.01,0.97,0.08,0.12,0.53,11.67,0,0.53,0.41,0.45,12.69,1.66,2.35,1.34,1.58,3,2.27,1.34,0.57,0.2,0.41,4.22,0.28,2.76,0.28,0,13.09,5.19,5.23,2.39,0.81,0.73,1.86,4.3,2.19,21.2,3.12,12.24,7.38,6.08,0.41,0.08,2.15,0.08,0.08,0.45,0,0.04,0.04,0,0,17.27,10.7,2.8,0.93,0,0.04,0.08,2.03,0,0,0.24,0.45
Hannover SE,1,2880,97.93,90.82,34.36,88.98,9.9,37.15,82.85,47.78,12.67,8.54,0.69,5.42,0.03,0,0.03,0,1.7,1.49,1.32,2.85,11.25,13.92,5.17,3.92,9.31,0.45,11.67,7.12,2.08,0.59,4.27,2.22,6.25,4.62,1.56,0.42,0.21,0.59,12.71,0.38,0.56,0.28,0.59,14.17,2.22,2.67,1.28,1.67,3.4,2.47,1.18,0.73,0.24,0.17,1.81,0.14,0.24,0.28,0,15.97,6.15,5.52,2.47,1.84,1.6,1.84,3.89,1.6,17.92,2.78,11.11,5.42,6.77,0.35,0.07,3.68,0.21,0.28,0.28,0,0,0,0,0,16.77,10,3.47,0.66,0,0.17,0.03,1.25,0.21,0,0,0.97
HeidelbergCement AG,1,620,99,88.64,83.43,62.48,22.96,39.35,77.26,38.71,8.39,6.29,0,5.65,0,0,0,0,0.32,0.32,0,0.97,7.58,17.74,3.55,2.26,9.03,0,9.03,9.19,2.58,0.16,10.16,1.13,3.55,2.58,0.81,0,0.16,0.48,7.58,0.16,0.16,0,0.16,8.39,0.81,1.45,0.65,1.13,1.13,1.61,1.13,0.32,0.48,0.32,0.81,0,0,0,0.32,17.1,7.26,6.77,3.23,0.81,0.65,1.45,2.26,1.45,25.48,3.55,15.48,9.68,8.39,0.32,0,3.06,0.32,0,2.74,0,2.58,0,0,0,20,4.68,3.39,1.45,0,0,0,6.77,0,0,1.29,2.42
Henkel,1,5479,91.12,90.09,51.99,88.13,10.3,36.01,86.22,49.33,13.36,8.85,1.13,5.69,0.09,0,0.09,0,1.66,1.48,0.88,3.03,10.06,14.24,6.48,4.42,11.92,0.44,12.43,8.09,2.28,0.53,3.91,3.01,4.78,3.83,0.84,0.07,0.13,0.44,12.58,0.16,0.8,0.55,0.71,14.09,1.84,2.1,1.37,2.19,3.03,2.72,1.22,0.31,0.27,0.49,1.55,0.2,0.15,0.2,0.07,16.19,7.19,5.68,2.97,1.35,0.62,2.97,2.92,1.55,19.78,2.37,10.91,7.9,8.58,0.47,0.22,3.5,0.22,0.09,0.6,0,0.04,0.09,0,0,14.78,9.78,3.05,0.46,0,0.09,0.07,0.93,0.05,0,0.04,0.31
Mercedes Benz Group,1,11,,,,,11,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merck,1,3638,96.71,94.45,72.6,87.38,14.05,36.94,83.86,48.98,13.69,10.01,0.63,7.31,0,0,0,0,1.51,1.21,0.82,2.8,8.74,16.41,5.31,3.88,10.06,0.27,10.75,6.35,2.31,0.52,4.76,2.97,4.65,3.77,0.82,0.25,0.14,0.27,13.39,0.11,0.19,0.11,0.16,13.22,1.81,2.45,1.1,1.9,2.67,2.36,0.85,0.36,0.19,0.27,3.13,0.74,1.46,0.22,0.03,16,8.19,5.09,2.06,1.59,0.6,1.4,2.86,1.84,22.7,3.08,13.55,7.7,6.73,0.41,0.05,2.56,0.16,0.05,0.41,0,0.08,0.05,0,0,14.21,7.06,4.56,0.41,0,0.11,0.05,1.59,0.25,0,0.05,0.11
MTU Aero Engines,1,2587,92.13,92.54,33.79,99,11.81,33.09,85.43,51.06,13.88,9.74,1.01,5.88,0.15,0,0.15,0,2.32,2.09,1.89,2.94,11.67,13.07,6.46,4.6,11.09,0.46,13.41,7.42,1.7,0.54,3.79,2.86,6.46,5.8,0.5,0,0.12,0.23,13.34,0.08,0.39,0.15,0.35,14.22,2.05,2.28,1.55,1.74,3.59,2.01,1.31,0.77,0.15,0.31,2.63,0.23,0.54,0.7,0.23,16.62,7.31,5.76,2.55,2.71,0.77,1.74,4.68,2.16,19.02,3.52,10.09,7.23,7.38,0.39,0.04,3.21,0.23,0.19,0.7,0,0,0.12,0,0,15.46,7.96,3.17,1.35,0.12,0.31,0.23,2.24,0,0,0,0.08
Munich RE,1,2691,98.29,84.98,30.59,87.84,12.52,37.01,81.42,43.4,10.44,7.13,0.67,4.05,0.07,0,0.07,0,1.82,1.67,1.19,2.64,9.22,13.53,4.68,3.75,9.03,0.41,10.37,6.43,1.64,0.56,6.95,3.57,5.83,4.31,1.34,0.19,0.07,0.52,10.03,0.07,0.37,0.22,0.22,13.12,1.34,2.19,1.23,1.78,3.6,2.38,1.56,0.33,0.78,0.19,1.9,0.15,0.37,0.41,0.04,12.63,4.91,4.83,1.93,1.6,0.93,2.45,3.31,1.56,18.54,2.38,10.33,7.51,7.77,0.56,0,4.2,0.22,0.15,0.56,0,0.07,0.07,0,0,16.54,7.84,3.12,0.78,0,0.07,0.19,3.75,0,0,0.15,0.63
Porsche AG,1,3396,89.74,92.86,28.37,97.1,10.55,31.95,81.98,48.56,13.55,9.42,0.77,6.24,0.15,0,0.15,0,2.09,1.88,1.12,3.27,10.28,12.63,6.65,4.27,11.04,0.41,11.69,8.19,1.77,0.62,4.06,2.77,4.65,4.3,0.29,0.06,0.03,0.18,12.96,0.15,0.15,0.21,0.41,13.16,1.47,2.56,1.06,1.44,3.24,2.18,0.88,0.56,0.15,0.18,2.47,0.06,0.38,0.35,0,15.67,8.07,5.12,2.24,1.24,0.41,1.5,4.3,1.5,18.26,2.21,10.51,7.01,7.63,1.24,0.03,2.74,0.06,0,0.47,0,0.09,0.09,0,0,16.99,10.42,3.39,1.18,0.06,0.12,0.03,1.21,0.27,0,0.12,0.21
Qiagen,1,4438,99,65.55,1,28.38,21.34,28.26,22.78,4.51,0.54,0,0,0,0,0,0,0,0,0,0,0.54,0,3.13,0.29,0.38,0.09,0.07,0.97,0.97,0,0.36,4.75,0.34,0.83,0.68,0.16,0.05,0,0.05,1.6,0.02,0.07,0.02,0,1.87,0.32,0.45,0.25,0.09,0.16,0,0.2,0.14,0.07,0,0.88,0.14,0.5,0,0.02,1.01,0.45,0.16,0.32,0.11,0.07,0.56,0.38,0,4.55,0.11,3.38,1.04,2.93,0.88,0,2.07,0.02,0,6.87,0,5.21,0,0,0,12.55,5.16,3.65,0.25,0,0,0,2.28,0,0.18,0,1.04
Rheinmetall AG,1,5101,99,75.67,30.18,83.59,20.74,37.95,77.57,46.78,8.1,4.82,0.59,2.02,0.06,0,0.06,0,1.71,1.63,0.8,2.86,12.66,16.94,4.82,3.53,9.49,0.24,9.45,6.1,1.59,0.49,5.45,1.67,3.61,3.14,0.43,0.12,0.12,0.12,6.65,0.06,0.16,0.14,0.29,10.74,1.2,2.1,0.84,1.18,2.27,1.73,1,0.29,0.25,0.29,1.8,0.08,0.82,0.1,0.04,10.53,2.82,4.37,2.72,1.1,0.61,2.39,2.43,1.22,18.94,2.41,11.55,5.88,7.33,0.39,0.06,2.51,0.24,0,0.43,0,0.2,0,0.04,0,13.74,5.16,3.98,0.2,0.02,0,0.04,1.55,0.06,0,0.71,2.04
RWE AG,1,946,99,84.83,58.15,65.89,15.26,36.47,81.29,42.92,9.94,5.6,0.53,4.44,0.11,0,0.11,0,0.63,0.53,0.53,2.54,9.62,15.64,4.55,2.85,9.09,0.63,9.94,5.81,1.37,0,9.09,2.54,2.75,2.33,0.42,0.11,0,0.21,8.56,0,0.53,0.32,0.32,10.78,1.8,2.01,1.27,1.48,2.75,1.8,0.95,0.21,0.42,0.21,1.06,0.11,0.32,0.11,0.42,13.21,5.6,4.86,2.22,1.06,0.53,3.07,2.64,1.59,21.04,2.11,12.47,7.51,5.39,0.63,0.11,3.49,0,0,0.42,0,0,0,0,0,14.9,6.77,3.91,0.74,0,0,0,2.43,0.11,0,0,0.95
SAP SE,1,3418,91.86,96.01,49.59,98.43,14.24,35.46,84.44,47.92,13.87,10.06,0.79,7.02,0.26,0.03,0.23,0,1.99,1.87,1.46,3.1,8.78,13.28,5.73,3.57,10.5,0.29,12.17,7.4,2.11,0.88,5.21,2.34,5.73,5,0.61,0.15,0.09,0.26,14.95,0.23,0.88,0.41,0.44,13.11,1.93,3.16,0.99,1.4,2.93,1.64,1.32,0.82,0.35,0.09,2.22,0.12,0.29,0.38,0.06,19.46,8.81,7.26,2.49,2.25,0.82,2.11,3.39,1.4,20.86,3.69,10.97,7.64,9.27,0.53,0.06,3.39,0.23,0.03,0.64,0,0.06,0.12,0,0,15.36,7.05,5.03,0.73,0,0.03,0.03,1.23,0.06,0,0.12,1.08
Siemens AG,1,4772,93.85,92.82,34.65,97,8.28,32.17,83.32,47.59,12.93,8.65,0.59,5.11,0.25,0.02,0.23,0,2.37,2.2,1.78,2.77,9.72,13.94,6.01,4,10.81,0.54,12.49,8.4,2.81,0.9,4.8,3.23,4.99,4.44,0.46,0.04,0.08,0.25,14.86,0.31,0.57,0.27,0.44,13.18,1.61,2.41,1.26,1.91,2.62,2.49,1.15,0.31,0.59,0.21,2.62,0.08,0.61,0.1,0.34,14.54,6.98,5.26,1.93,0.96,0.61,1.51,4.38,1.09,19.32,2.93,10.83,6.75,7.06,0.67,0.17,2.68,0.06,0.13,0.9,0,0.08,0.17,0,0,21.44,11.76,4.9,1.4,0,0.42,0.15,1.34,0.27,0.06,0,1.13
Siemens Energy,1,4236,97.87,90.51,23.51,91.44,10.01,36.47,81.23,45.82,11.64,7.65,0.35,5.24,0.09,0,0.09,0,1.42,1.27,0.76,2.93,10.01,14.09,6,3.14,9.28,0.5,11.5,5.64,1.56,0.31,5.95,2.2,4.79,3.97,0.71,0.09,0.07,0.38,11.4,0.05,0.26,0.24,0.21,12.77,1.44,2.62,1.25,1.25,2.9,1.96,1.32,0.57,0.45,0.31,1.35,0.09,0.38,0.14,0.05,15.51,6.44,5.38,2.88,1.56,0.59,2.1,3.68,2.05,17.8,2.88,10.74,5.64,8.03,0.38,0.07,3.99,0.42,0.12,0.42,0,0.19,0.07,0,0,15.13,10.29,2.83,0.59,0,0.02,0,0.64,0.24,0,0.09,0.42
Siemens Healthineers,1,726,99,94.02,26.17,94.48,16.88,40.77,79.89,41.74,8.82,6.47,0,5.23,0.28,0,0.28,0,1.1,1.1,0.83,1.24,10.06,16.25,5.1,1.79,7.58,0,8.82,6.61,1.93,0.14,7.71,1.52,4.82,4.13,0.55,0,0.14,0,12.26,0.28,0.69,0.14,0.69,7.71,0.69,1.1,0.28,0.28,2.34,1.1,1.65,0.41,0.41,0.69,3.03,0.41,1.93,0.14,0.28,16.53,7.44,5.65,3.17,1.65,0.55,1.38,2.34,0.83,19.01,2.62,12.26,5.79,9.09,0.14,0,2.48,0,0.14,3.03,0,2.75,0,0,0,16.8,6.47,3.72,0.83,0.28,0,0,1.93,0.55,0,0,3.03
Symrise,1,2074,96.03,90.86,58.34,96.07,13.29,33.08,82.11,46.19,13.16,9.02,0.87,6.12,0.19,0,0.19,0,1.64,1.35,1.25,2.6,9.45,15,5.26,3.81,10.56,0.48,10.51,6.65,1.35,0.34,6.61,2.12,4.77,4.24,0.43,0.05,0.14,0.19,11.67,0.1,0.14,0.1,0.05,12.15,1.49,2.36,1.01,1.3,2.51,2.41,2.03,0.87,0.29,0.39,2.27,0.14,0.53,0.24,0.39,14.46,7.09,5.11,1.54,1.64,0.63,2.51,2.84,1.21,20.97,3.28,11.72,6.99,7.57,0.53,0.1,4.24,0.05,0.05,0.58,0,0,0.19,0,0,18.56,7.67,5.16,0.68,0,0,0.05,1.01,0,0,0,4
Volkswagen AG,1,3417,96.38,95.22,42.68,94.62,12.29,34.42,81.83,48.52,12.67,9.54,0.76,7.61,0.03,0,0.03,0,1.08,1.05,0.5,2.34,10.07,14.57,5.82,3.63,10.86,0.09,10.65,7.32,1.61,0.53,3.75,2.55,4.68,4.1,0.5,0,0.03,0.38,12.29,0.06,0.18,0.23,0.15,11.85,1.87,2.08,0.7,0.76,3.19,1.29,1.2,0.53,0.2,0.47,2.46,0.06,0.73,0.41,0,17.56,8.87,5.79,2.43,1.49,0.5,1.43,2.87,2.19,19.37,2.28,11.33,7.29,7.32,1.17,0.09,2.43,0.15,0,0.2,0,0,0.06,0,0,15.01,8.22,3.69,0.85,0,0.09,0.06,1.79,0,0,0,0.32
Vonovia,1,2821,74.38,91.52,29.77,93.58,8.42,31.41,85.5,51.79,16.59,10.32,0.99,6.27,0.18,0.07,0.11,0,2.16,1.88,1.49,4.22,10.99,12.16,7.66,3.93,11.77,1.49,15.24,7.87,1.67,1.1,2.59,3.97,5.57,4.5,1.03,0.18,0.21,0.5,15.17,0.07,0.5,0.53,0.46,16.09,2.06,2.13,2.2,2.55,4.5,3.33,1.38,0.57,0.32,0.35,2.23,0.14,0.32,0.28,0.04,15.99,7.41,4.86,3.12,0.96,0.99,2.02,5.71,0.96,17.62,2.59,9.93,6.31,6.52,0.53,0.53,2.94,0.11,0.11,0.96,0,0.04,0.11,0,0,17.3,11.8,3.58,0.74,0,0.32,0.11,0.67,0.07,0,0,0